DELHI ,NORTH- EAST,No,5,5,5,1,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Provided,Not provided,Not Provided,0
DELHI ,NORTH ,Not provided,11,11,13,3,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Provided
DELHI ,EAST ,Not provided,12,12,8,2,Yes,Yes,0,1281,0,0,Not provided,0,0,Not provided,2,Not provided,45,0
DELHI ,WEST ,No,17,16,13,Not Provided,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,Not provided,Not Responded,40,"0
8 Resigned"
DELHI ,SOUTH ,No,12,12,9,3-6,YES,Yes,0,838,0,66,0,0,0,Yes,22,20,0,0
DELHI ,SOUTH EAST ,No,21,21,21,3,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,YES,Not provided,Not provided,Not provided,0
DELHI ,CENTRAL ,No,Not provided,Not provided,28,3,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not provided,Not Responded,0,0
DELHI ,NEW DELHI ,Not provided,29,15,Not provided,No fixed tenure,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,30,Not provided,0,0
DELHI ,SHAHDARA ,Not provided,6,6,Not provided,No fixed tenure,YES ,YES ,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not provided,Not provided,0,0
DELHI ,NORHTWEST,Not provided,11,11,23,3,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,40,Not provided,0,0
DELHI ,SOUTHWEST ,No,18,10,49,36,YES ,yes,Not provided,907,Not Responded,Not provided,Not provided,Not provided,Not provided,Yes,23,Not provided,Not Responded,0
HIMACHAL PRADESH ,BILASPUR,No,8,8,10,24,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,0,0
HIMACHAL PRADESH ,UNA,No,13,13,13,24,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not provided,0,0,0
HIMACHAL PRADESH ,SOLAN ,"No, but PLVs have been appointed",17,17,17,24,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,0,Not provided,0,0
HIMACHAL PRADESH ,SHIMLA ,Yes,16,14,19,24,Yes,Yes,0,101,0,76,0,76,1,No,3,187,Not Responded,0
HIMACHAL PRADESH ,KINNAUR ,No,6,6,6,24,Yes,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,6,12,0,0
HIMACHAL PRADESH ,KANGRA,Yes,14,14,21,24,Yes,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,0,0,0
HIMACHAL PRADESH ,CHAMBA ,Yes,5,5,5,24,Yes,Yes,Not Responded,375,Not Responded,274,Not Responded,274,Not Responded,0,13,0,0,0
HIMACHAL PRADESH ,HAMIRPUR ,Not provided,7,7,9,24,Yes,Not provided,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,Not Responded,Not provided
HIMACHAL PRADESH ,KULLU ,No,3,3,5,24,Yes,No,Not Responded,436,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,0,52,0,0
HIMACHAL PRADESH ,SIRMAUR ,No,10,10,10,24,Yes,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,Not provided,48,0,0
KARNATAKA ,KOLAR ,No,21,21,To check list,12,Yes,Yes,Not provided,24,Not provided,13,0,6,0,Yes,Not provided,Not provided,Not Responded,Not provided
KARNATAKA ,BAGALKOT,No,22,16,37,27,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,0,0
KARNATAKA ,BENGALURU URBAN ,No,37,31,34,No fixed tenure,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,Not Responded,Not provided
KARNATAKA,KOPPAL ,Yes,8,Not provided,4,Not provided,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not provided
KARNATAKA ,CHAMARAJANAGAR ,No,1,0,0,Not provided,No,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not Responded,Not Responded,Not provided
KARNATAKA ,DHARWAD ,Yes,18,18,6,No fixed tenure,Yes,No,Not Responded,0,0,0,0,0,0,Yes,0,Not Responded,Not Responded,Not provided
KARNATAKA ,GADAG,No,6,Not provided,5,12,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,0,0,Not Responded,Not provided
KARNATAKA ,KALABURAGI,No,13,13,15,No fixed tenure,Yes,No,Not Responded,33,Not Responded,3,Not Responded,3,Not Responded,Yes,Not provided,Not Responded,Not Responded,Not provided
KARNATAKA,MANGALORE,No,18,18,0,Not provided,No,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not provided
KARNATAKA ,RAICHUR ,No,10,10,Not provided,No fixed tenure,No,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not provided
KARNATAKA,TUMAKURU ,No,31,31,31,12,Yes,No,36,8,0,8,0,8,0,Yes,0,Not Responded,Not Responded,0
KARNATAKA ,UDUPI ,No,11,11,0,12,Yes,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,Not Responded,Not provided,Not Responded,0
KARNATAKA ,KARWAR ,No,22,22,7,12,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,No,0,Not Responded,0,0
KARNATAKA ,RAMANAGARA ,No,13,4,6,6,Yes,Yes,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,0,Not Responded,Not Responded,Not provided
KARNATAKA ,MANDYA ,No,25,25,26,No fixed tenure,Yes,Yes,Not Responded,13,Not Responded,11,Not Responded,11,0,Yes,Not provided,0,Not Responded,0
KARNATAKA ,VIJAYAPURA ,No,9,9,3,No fixed tenure,Yes,No,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Not Responded,Yes,0,0,0,0
